Variable name,Description of variable,Type
Replication sample number (power),"Replication sample number determined from power calcluations to detect original effect at 80% power and alpha of 0.05. NA indicates experiments were originally identified, but did not continue after sharing with labs (before submitting protocol to eLife), experiment did not get submitted to eLife, or experiment did not get accepted and published in eLife. Sample number is determined as either biological repeats not accounting for experimental groups/conditions (e.g., cell-based experiments) or total samples accounting for experimental groups/conditions (e.g., animals or patient samples across).",numeric
Replication sample number (reported),"Replication sample number reported in Replication studies. NA indicates experiments were originally identified, but did not continue after sharing with labs (before submitting protocol to eLife), experiment did not get submitted to eLife, or experiment did not get accepted and published in eLife. Sample number is determined as either biological repeats not accounting for experimental groups/conditions (e.g., cell-based experiments) or total samples accounting for experimental groups/conditions (e.g., animals or patient samples across).",numeric
Replication experiment attempted,Indicates if the experimental work for the replication was started. No indicates a published Registered Report protocol but no experimental work started. NA indicates no published Registered Report.,"categorical: Yes, No, NA"
Replication experiment completed,"Indicates if the experimental work for the replication was completed with outcome level data. Partial indicates some, but not all, of the replication was completed with outcome level data. NA indicates a published Registered Report protocol but no experimental work started, or no published Registered Report.","categorical: Yes, Partial, No, NA"
"If experiment incomplete, why?",Brief written description of why replications were not completed (either in full or partially). NA indicates replication experiment was completed or not attempted.,string
Changes needed during experimentation?,"Amount of changes needed to the approved experimental methodology published in the Registerd Report for experiment to proceed. 0 = no modifications; 1 = few modifications; 2 = some modifications; 3 = moderate modifications; 4 = strong modifications; 5 = extreme modifications, NA = experiment was not attempted.","categorical: 0, 1, 2, 3, 4, 5, NA"
"If modifications were needed for experiment to proceed, what were they?",Brief written description of why and what modifications were needed for experimentation to proceed. NA indicates modifications were not needed or experiment was not attempted.,string
Changes able to be implemented during experimentation?,"Amount of changes that were able to be implementated. 0 = not implemented; 1 = little implemented; 2 = some implemented; 3 = moderately implemented; 4 = mostly implemented; 5 = completely implemented, 6 = not needed, NA = experiment was not attempted.","categorical: 0, 1, 2, 3, 4, 5, 6, NA"
"If modifications unable to be fully implemented, why?","Brief written description of why changes were not able to be implementated. NA indicates modifications were not needed, modifications were able to be completely implemented, or experiment was not attempted.",string
Replication study figure,Number(s) of figure(s) or table(s) from the published Replication study that correspond to the completed replication experimental work. NA indicates experimental work not completed and published in Replication study or no published Registered Report.,string
Were materials shippped between replicating labs?,"Indicates if the materials were shipped between replications labs. NA indicates no experimental work occurred (e.g., replication work not started or no accepted Registered report).","categorical: Yes, No, NA"
"If a material was shipped between replicating labs, what was it?","List of reagent materials that were shipped between replications labs (when more than one contracted lab) during the course of the replication attempt. NA indicates no reagent materials were shipped or no experimental work occurred (e.g., replicaiton work not started or no accepted Registered report).","list: RNA, Plasmid, Cells, Cell lysate, Purified protein, Peptide, Embedded tissue, Patient samples, Exosomes, Genomics DNA, NA"
Was the original experiment blinded?,"Indicates if the experiment from the original paper reported blinding. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No, NA"
Was the replication experiment blinded?,"Indicates if the experiment from the replication papers reported blinding. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the replication paper.","categorical: Yes, No, NA"
Was the original experiment randomized?,"Indicates if the experiment from the original paper reported randomization. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No, NA"
Was the replication experiment randomized?,"Indicates if the experiment from the replication papers reported randomization. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the replication paper.","categorical: Yes, No, NA"
Was the original experiment sample size determined a priori?,"Indicates if the experiment from the original paper reported sample size planning. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No, NA"
Was the replication experiment sample size determined a priori?,"Indicates if the experiment from the replication papers reported sample size planning. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the replication paper.","categorical: Yes, No, NA"
Was a statistical test reported in the original paper?,"Indicates if the experiment from the original paper reported a statistical analysis. For multi-figure experiments if at least one of the figures included a statistical test a 'Yes' response is given. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No"
What statistical test(s) was reported?,"List of type of statistical test(s) that were reported in the original paper. NA indicates no statistical test was reported (i.e., a 'No' reponse in 'Was a statistsical test reported in the original paper?'). Unknown indicates a statistical test was reported, but the paper did not state the type of test. Multiple tests are separated by semicolon (';').","list: Student's t test, Chi-square test, Log-rank Mantel-Cox test, Welch's t test, between-subjects ANOVA, contrast of between-subjects ANOVA, Mann-Whitney, paired t test, Spearman's rank correlation, Fisher's exact test, Fisher's method, Biophysical modeling, Correlation, unknown, NA"
Was variation of biological repeats reported in the original experiment?,"Indicates if biological variation was reported for the primary outcome(s) of interest in the experiment from the original paper. If only a representative image is reported, a 'No' reponse is given. If multiple representative images are given, but not all replicates are reported, a 'No' response is given. If only a single image is given and it is unclear how many repeats were done a 'No' response is given. Figures/tables, figure/table legends, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No"
Notes,Notes about any of the variables where relevant.,string
